circuit,model,p,regime,t_stat,p_val,cohen_d,sig
bell,depolar,0.001,low,-0.3973,0.695,-0.1502,False
bell,depolar,0.002333,low,-1.4839,0.1535,-0.5609,False
bell,depolar,0.003667,low,0.7761,0.4486,0.2934,False
bell,depolar,0.005,low,-0.218,0.83,-0.0824,False
bell,depolar,0.006333,low,-0.2166,0.8313,-0.0819,False
bell,depolar,0.007667,low,1.3306,0.2028,0.5029,False
bell,depolar,0.009,low,0.5245,0.6075,0.1982,False
bell,depolar,0.012,mid,-0.3893,0.7026,-0.1471,False
bell,depolar,0.018,mid,0.5165,0.6129,0.1952,False
bell,depolar,0.024,mid,0.8334,0.4181,0.315,False
bell,depolar,0.03,mid,0.0753,0.9409,0.0285,False
bell,depolar,0.036,mid,1.0276,0.3202,0.3884,False
bell,depolar,0.042,mid,-0.2559,0.8015,-0.0967,False
bell,depolar,0.048,mid,-0.0129,0.9899,-0.0049,False
bell,depolar,0.06,high,2.9167,0.0106,1.1024,True
bell,depolar,0.075,high,1.66,0.1185,0.6274,False
bell,depolar,0.09,high,0.5788,0.5716,0.2188,False
bell,depolar,0.105,high,0.6314,0.5376,0.2387,False
bell,depolar,0.12,high,0.8348,0.4172,0.3155,False
bell,depolar,0.135,high,0.3171,0.7558,0.1198,False
bell,depolar,0.15,high,-0.6444,0.529,-0.2436,False
bell,combined,0.001,low,-0.2252,0.8242,-0.0851,False
bell,combined,0.002333,low,-0.7486,0.463,-0.283,False
bell,combined,0.003667,low,1.6134,0.1238,0.6098,False
bell,combined,0.005,low,0.3263,0.7479,0.1233,False
bell,combined,0.006333,low,0.3905,0.7011,0.1476,False
bell,combined,0.007667,low,-0.6427,0.5284,-0.2429,False
bell,combined,0.009,low,0.684,0.5039,0.2585,False
bell,combined,0.012,mid,-1.0617,0.3039,-0.4013,False
bell,combined,0.018,mid,2.2827,0.0378,0.8628,True
bell,combined,0.024,mid,1.1176,0.2806,0.4224,False
bell,combined,0.03,mid,0.9689,0.3473,0.3662,False
bell,combined,0.036,mid,0.599,0.5576,0.2264,False
bell,combined,0.042,mid,0.9538,0.3558,0.3605,False
bell,combined,0.048,mid,-2.087,0.0543,-0.7888,False
bell,combined,0.06,high,-1.4595,0.166,-0.5517,False
bell,combined,0.075,high,0.693,0.4988,0.2619,False
bell,combined,0.09,high,2.9117,0.0103,1.1005,True
bell,combined,0.105,high,1.3698,0.1913,0.5177,False
bell,combined,0.12,high,0.1361,0.8936,0.0514,False
bell,combined,0.135,high,0.2377,0.8155,0.0898,False
bell,combined,0.15,high,-0.4094,0.6882,-0.1547,False
ghz,depolar,0.001,low,-0.2175,0.8305,-0.0822,False
