circuit,model,p,regime,method,ideal,mu,sd,ci_lo,ci_hi,err,err_noisy,impr
bell,depolar,0.001,low,richardson,1.0,0.9990885416666658,0.006087848816437907,0.9963541666666661,1.0023437499999992,0.0009114583333341697,0.0006510416666666297,-0.26041666666754004
bell,depolar,0.001,low,linear,1.0,0.9998263888888891,0.003349052382614601,0.9980902777777781,1.0015625000000001,0.0001736111111109162,0.0006510416666666297,0.47743055555571345
bell,depolar,0.002333,low,richardson,1.0,0.9957031249999991,0.009912951203476005,0.9906249999999992,1.0005208333333324,0.004296875000000866,0.002213541666666652,-0.9411764705886395
bell,depolar,0.002333,low,linear,1.0,1.000043402777778,0.004636993203606701,0.9976128472222227,1.0023437500000005,4.340277777803436e-05,0.002213541666666652,0.980392156862629
bell,depolar,0.003667,low,richardson,1.0,1.003645833333332,0.019607490087584493,0.9943977864583321,1.0135416666666655,0.003645833333332016,0.003776041666666674,0.03448275862104045
bell,depolar,0.003667,low,linear,1.0,0.9993923611111115,0.006002150664257808,0.9963975694444448,1.0022569444444447,0.0006076388888884843,0.003776041666666674,0.8390804597702224
bell,depolar,0.005,low,richardson,1.0,0.9981770833333322,0.0226030565683637,0.986718749999999,1.0093749999999992,0.0018229166666677843,0.00455729166666663,0.5999999999997515
bell,depolar,0.005,low,linear,1.0,0.9995659722222227,0.007587421313684865,0.9958322482638889,1.0032128906250006,0.000434027777777346,0.00455729166666663,0.9047619047619987
bell,depolar,0.006333,low,richardson,1.0,0.9950520833333328,0.02327271352632721,0.9848958333333324,1.0076822916666663,0.0049479166666671626,0.0067708333333332815,0.2692307692306904
bell,depolar,0.006333,low,linear,1.0,0.9964409722222226,0.005851492898039111,0.9934895833333337,0.9992198350694451,0.0035590277777773904,0.0067708333333332815,0.4743589743590275
bell,depolar,0.007667,low,richardson,1.0,1.0098958333333328,0.033870188516435557,0.9925781249999995,1.0260449218749996,0.00989583333333277,0.007942708333333326,-0.24590163934419262
bell,depolar,0.007667,low,linear,1.0,0.9975694444444447,0.007367485693090035,0.9938357204861116,1.0013020833333337,0.0024305555555552694,0.007942708333333326,0.6939890710382871
bell,depolar,0.009,low,richardson,1.0,1.003776041666666,0.0321364085138669,0.9885416666666662,1.0204459635416663,0.003776041666665897,0.00911458333333337,0.5857142857143719
bell,depolar,0.009,low,linear,1.0,0.9991753472222226,0.006666813601534764,0.9957465277777783,1.0023871527777783,0.0008246527777774348,0.00911458333333337,0.9095238095238475
bell,depolar,0.012,mid,richardson,1.0,0.9973958333333326,0.044318678190409966,0.977213541666666,1.019921874999999,0.002604166666667407,0.011197916666666696,0.7674418604650508
bell,depolar,0.012,mid,linear,1.0,1.0020833333333339,0.00810784335335807,0.997960069444445,1.0064670138888894,0.002083333333333881,0.011197916666666696,0.8139534883720446
bell,depolar,0.018,mid,richardson,1.0,1.0071614583333326,0.057946365755355916,0.9786393229166661,1.036331380208333,0.007161458333332593,0.01666666666666672,0.5703125000000457
bell,depolar,0.018,mid,linear,1.0,0.9990017361111114,0.011653140669011746,0.9931857638888894,1.0046440972222224,0.000998263888888573,0.01666666666666672,0.9401041666666858
